;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;lan;lon
 01. Centro;-1340;-2033;-2770;-2436;-1637;-1922;-1688;-1872;-1662;-1743;40,416777;-3,703721
 02. Arganzuela;-664;-833;-786;-323;-205;-144;-63;340;-58;-152;40,398548;-3,697719
 03. Retiro;-616;-695;-405;-277;-62;67;-254;-460;-277;-445;40,412287;-3,67665
 04. Salamanca;-2074;-1782;-1388;-1152;-1106;-734;-795;-1102;-1215;-1145;40,430199;-3,678241
 05. Chamartín;-937;-606;-483;-213;-209;-304;-119;-318;-485;-880;40,458511;-3,677082
 06. Tetuán;-1181;-1052;-784;-568;-438;-663;-404;-310;-196;-794;40,459244;-3,700036
 07. Chamberí;-2158;-1792;-1319;-1264;-1302;-1150;-895;-1205;-1665;-1301;40,438941;-3,704266
 08. Fuencarral-El Pardo;875;918;1196;1119;555;655;698;942;1330;1492;40,5199;-3,777212
 09. Moncloa-Aravaca;151;146;-30;-165;-158;399;-240;-180;-419;-208;40,448994;-3,750619
 10. Latina;202;231;73;-210;-91;-416;-241;-332;-670;-96;40,39144;-3,766749
 11. Carabanchel;517;743;935;-215;-27;69;803;1008;945;987;40,383147;-3,736777
 12. Usera;160;350;589;391;453;479;471;354;267;325;40,379314;-3,701639
13. Puente de Vallecas;295;847;192;-67;255;-173;124;-227;-59;-165;40,388195;-3,659506
 14. Moratalaz;106;-26;-50;-78;-278;-334;-71;-268;-275;-547;40,407343;-3,642356
 15. Ciudad Lineal;-478;-904;-877;-419;-678;-196;-482;-467;-290;-804;40,443243;-3,651935
 16. Hortaleza;1863;1638;1155;1104;1277;1916;468;424;624;728;40,477709;-3,644752
 17. Villaverde;2010;1586;1451;1134;767;538;605;454;480;436;40,34651;-3,697452
18. Villa de Vallecas;1835;1222;1710;1201;1153;820;1435;2157;2676;3176;40,353241;-3,614499
 19. Vicálvaro;682;727;515;222;203;141;252;255;185;313;40,392798;-3,584224
 20. San Blas-Canillejas;394;683;484;531;486;150;219;559;430;345;40,43713;-3,608225
 21. Barajas;358;632;592;338;310;308;177;248;334;478;40,470356;-3,58031
